university_id,university_name,intake_pack_exists,inventory_exists,homepage_url,recruitment_url,fetch_status,candidate_links_count,requires_human_attention,blocking_status,last_updated_utc
it-iusspavia,IUSS Pavia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-sissa,SISSA Trieste,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-gssi,Gran Sasso Science Institute,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-santanna,Scuola Superiore Sant'Anna,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-imtlucca,Scuola IMT Alti Studi Lucca,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unicamillus,Università UniCamillus,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unicatt,Università Cattolica del Sacro Cuore,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-lumsa,LUMSA,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-iulm,Libera Università di Lingue e Comunicazione IULM,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unisr,Università Vita-Salute San Raffaele,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unicollegio,Università Campus Bio-Medico di Roma,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uninettuno,Università Telematica Internazionale UNINETTUNO,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unimarconi,Università degli Studi Guglielmo Marconi,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unipegaso,Università Telematica Pegaso,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unimercatorum,Università Telematica Universitas Mercatorum,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unifortunato,Università Giustino Fortunato,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unicusano,Università Niccolò Cusano,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
