decision_id,university_name,official_homepage_url,recruitment_page_url,decision,review_notes,reviewed_by,reviewed_at_utc
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgVmVyb25hfHxodHRwczovL3d3dy51bml2ci5pdC98fA,Università degli Studi di Verona,https://www.univr.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgRy4gZCdBbm51bnppbyBDaGlldGktUGVzY2FyYXx8aHR0cHM6Ly93d3cudW5pY2guaXQvfHw,Università degli Studi G. d'Annunzio Chieti-Pescara,https://www.unich.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgR3VnbGllbG1vIE1hcmNvbml8fGh0dHBzOi8vd3d3LnVuaW1hcmNvbmkuaXQvfHw,Università degli Studi Guglielmo Marconi,https://www.unimarconi.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgTWVkaXRlcnJhbmVhIGRpIFJlZ2dpbyBDYWxhYnJpYXx8aHR0cHM6Ly93d3cudW5pcmMuaXQvfHw,Università degli Studi Mediterranea di Reggio Calabria,https://www.unirc.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgUm9tYSBUcmV8fGh0dHBzOi8vd3d3LnVuaXJvbWEzLml0L3x8aHR0cHM6Ly93d3cudW5pcm9tYTMuaXQvYXRlbmVvL2xhdm9yYS1jb24tbm9pLw,Università degli Studi Roma Tre,https://www.uniroma3.it/,https://www.uniroma3.it/ateneo/lavora-con-noi/,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVsIFBpZW1vbnRlIE9yaWVudGFsZXx8aHR0cHM6Ly93d3cudW5pdXBvLml0L3x8,Università del Piemonte Orientale,https://www.uniupo.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVsIFNhbGVudG98fGh0dHBzOi8vd3d3LnVuaXNhbGVudG8uaXQvfHw,Università del Salento,https://www.unisalento.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVsbGEgQ2FsYWJyaWF8fGh0dHBzOi8vd3d3LnVuaWNhbC5pdC98fA,Università della Calabria,https://www.unical.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVsbGEgVmFsbGUgZCdBb3N0YXx8aHR0cHM6Ly93d3cudW5pdmRhLml0L3x8,Università della Valle d'Aosta,https://www.univda.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGkgQm9sb2duYXx8aHR0cHM6Ly93d3cudW5pYm8uaXQvfHxodHRwczovL3d3dy51bmliby5pdC9pdC9hdGVuZW8vbGF2b3JhLWNvbi1ub2k,Università di Bologna,https://www.unibo.it/,https://www.unibo.it/it/ateneo/lavora-con-noi,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGkgRm9nZ2lhfHxodHRwczovL3d3dy51bmlmZy5pdC98fA,Università di Foggia,https://www.unifg.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGkgUGFybWF8fGh0dHBzOi8vd3d3LnVuaXByLml0L3x8aHR0cHM6Ly93d3cudW5pcHIuaXQvY29uY29yc2ktZS1tb2JpbGl0YQ,Università di Parma,https://www.unipr.it/,https://www.unipr.it/concorsi-e-mobilita,accepted,,,2026-05-17T15:06:43.879Z
