university_id,source_url,discovery_depth,parent_url,link_url,link_text,link_type_hint,same_domain,keyword_match,confidence_level,requires_human_attention,blocking_status,notes,observed_at_utc
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/campus-e-servizi/,Campus e Servizi,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/ricerca/,Ricerca,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/innovazione/,Innovazione,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/universita-e-societa/,Università e Società,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/ateneo/,Ateneo,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/unipinews,News,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/#,Ita,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/en/,Eng,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/,I corsi,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/iscrizioni/,Iscrizioni,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/segreterie/,Segreterie,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/studi-e-tirocini-allestero/,Studio e tirocinio all'estero,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/innovazione-della-didattica/,Innovazione della didattica,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/,Lauree triennali e magistrali a ciclo unico,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/lauree-magistrali/,Lauree magistrali,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/master/,Master,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/dottorati/,Dottorati,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/scuole-di-specializzazione,Scuole di specializzazione,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/formazione-insegnanti/,Formazione insegnanti,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/corsi-trasversali/,Corsi Trasversali,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/summer-schools/,Summer Schools,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/formazione-continua/,Formazione continua,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/iscrizioni/immatricolazioni-e-iscrizioni/,Immatricolazioni e iscrizioni,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/iscrizioni/orientamento/,Orientamento,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/iscrizioni/tasse/,Tasse,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/iscrizioni/borse-di-studio-e-altri-sostegni/,Borse di studio e altre forme di sostegno,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
it-unipi,https://www.unipi.it/,0,https://www.unipi.it/,https://www.unipi.it/didattica/iscrizioni/tutorato-di-accoglienza-per-matricole/,Tutorato di accoglienza per matricole,unknown,yes,no,low,yes,needs_human_review,Observed on approved source page with bounded discovery controls.,2026-05-18T14:08:59Z
