university_id,source_url,discovery_depth,parent_url,link_url,link_text,link_type_hint,same_domain,keyword_match,confidence_level,requires_human_attention,blocking_status,notes,observed_at_utc
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#content,https://www.unipa.it/albo.html#,Ateneo,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#content,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,Fare Ricerca: Bandi e Opportunità,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#content,https://www.unipa.it/albo.html,ITA,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#content,https://www.unipa.it/albo_fornitori.html,Albo Fornitori,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#,https://www.unipa.it/albo.html#content,Salta al contenuto principale,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#,https://www.unipa.it/albo.html#,Ateneo,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,Fare Ricerca: Bandi e Opportunità,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#,https://www.unipa.it/albo.html,ITA,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/albo.html#,https://www.unipa.it/albo_fornitori.html,Albo Fornitori,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/#content,Salta al contenuto principale,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/#,Ateneo,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,Fare Ricerca: Bandi e Opportunità,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,https://www.unipa.it/system/modules/it.unipa.opencms.pdf/pages/documento.pdf?uri=/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,,other_official_document_candidate,yes,yes,medium,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,https://www.unipa.it/albo.html,Albo Ufficiale,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
it-unipa,https://www.unipa.it/albo.html,1,https://www.unipa.it/organigramma/arearicerca/Fare-ricerca-Bandi--Opportunit-00001/,https://www.unipa.it/albo_fornitori.html,Albo Fornitori,unknown,yes,yes,low,yes,needs_human_review,Observed from bounded depth-1 same-domain keyword-relevant follow link.,2026-05-18T14:08:59Z
